Name,observation_value,Trait,Year
PI398236,16.7,oil,2020
PI398237,18.6,oil,2020
PI398238,20.6,oil,2020
PI398239,19.1,oil,2020
PI398242,17.9,oil,2020
PI398244,17.7,oil,2020
PI398255,19.4,oil,2020
PI398256,17.9,oil,2020
PI398264,17.6,oil,2020
PI398266,19.4,oil,2020
PI398269,18.3,oil,2020
PI398279,18.4,oil,2020
PI398296,18.35,oil,2020
PI398307,17.55,oil,2020
PI398312,18.7,oil,2020
PI398324,16.8,oil,2020
PI398327,17.4,oil,2020
PI398334,17.8,oil,2020
PI398348,16.9,oil,2020
PI398357,18.65,oil,2020
PI398360,18.4,oil,2020
PI398375,15.9,oil,2020
PI398377,19.4,oil,2020
PI398384,17.6,oil,2020
PI398393,20.9,oil,2020
PI398395,18,oil,2020
PI398401,17.4,oil,2020
PI398416,19.4,oil,2020
PI398423,16.55,oil,2020
PI398430,16.7,oil,2020
PI398436,16.8,oil,2020
PI398445,19.65,oil,2020
PI398454,18.8,oil,2020
PI398458,19.25,oil,2020
PI398476,20.15,oil,2020
PI398505,17.3,oil,2020
PI398522,16.8,oil,2020
PI398529,16.7,oil,2020
PI398556,17.2,oil,2020
PI398560,20.3,oil,2020
PI398579,19.25,oil,2020
PI398593,11.45,oil,2020
PI398609,16.3,oil,2020
PI398621,17.1,oil,2020
PI398643,17.4,oil,2020
PI398647,19.45,oil,2020
PI398661,18.35,oil,2020
PI398684,17.5,oil,2020
PI398686,17.5,oil,2020
PI398690,19.4,oil,2020
PI398692,19.65,oil,2020
PI398717,16.5,oil,2020
PI398727,17.5,oil,2020
PI398731,14.5,oil,2020
PI398735,17.1,oil,2020
PI398741,17.3,oil,2020
PI398757,16.5,oil,2020
PI398789,12.6,oil,2020
PI398792,15.8,oil,2020
PI398805,16.8,oil,2020
PI398821,17.8,oil,2020
PI398822,18.4,oil,2020
PI398825,14.85,oil,2020
PI398847,16.5,oil,2020
PI398865,18.7,oil,2020
PI398867,16.75,oil,2020
PI398884,14.2,oil,2020
PI398900,19,oil,2020
PI398912,15.9,oil,2020
PI398917,19,oil,2020
PI398922,16.55,oil,2020
PI398947,18,oil,2020
PI398978,19.55,oil,2020
PI398990,18.5,oil,2020
PI398996,18.3,oil,2020
PI399018,16.6,oil,2020
PI399034,17.5,oil,2020
PI399039,18.6,oil,2020
PI399042,19.55,oil,2020
PI399053,19.1,oil,2020
PI399072,17.3,oil,2020
PI399080,16.6,oil,2020
PI399094,19.45,oil,2020
PI399103,15.45,oil,2020
PI399105,16.65,oil,2020
PI399121,20.05,oil,2020
PI404152,18.65,oil,2020
PI404155A,19.5,oil,2020
PI404170,17.8,oil,2020
PI404180,17.6,oil,2020
PI404185,17.45,oil,2020
PI404192B,21.25,oil,2020
PI404193,17.9,oil,2020
PI407023,11,oil,2020
PI407026,10.6,oil,2020
PI407038,11.4,oil,2020
PI407041,10.2,oil,2020
PI407048,10.3,oil,2020
PI407053,9.9,oil,2020
PI407058,11.7,oil,2020
PI407065,10.3,oil,2020
PI407070,12.8,oil,2020
PI407072,11.3,oil,2020
PI407091,9.4,oil,2020
PI407097,9.8,oil,2020
PI407103,9.8,oil,2020
PI407111,10.2,oil,2020
PI407126,11.3,oil,2020
PI407132,10,oil,2020
PI407142,9.1,oil,2020
PI407145,9.9,oil,2020
PI407150,11.2,oil,2020
PI407155,9.9,oil,2020
PI407158,10.8,oil,2020
PI407171,8.7,oil,2020
PI407176,9.2,oil,2020
PI407181,12.2,oil,2020
PI407186,10.6,oil,2020
PI407188,10.3,oil,2020
PI407190,10.3,oil,2020
PI407192,11,oil,2020
PI407204,10.2,oil,2020
PI407205,10.75,oil,2020
PI407230,8.2,oil,2020
PI407237,10.6,oil,2020
PI407241,11.7,oil,2020
PI407252,10.5,oil,2020
PI407254,11.5,oil,2020
PI407279,10.4,oil,2020
PI407283,11.7,oil,2020
PI407303,10.6,oil,2020
PI407306,12.5,oil,2020
PI407315,11.4,oil,2020
PI407318A,12.4,oil,2020
PI407322,10.7,oil,2020
PI407386D,19.8,oil,2020
PI407658B,16.5,oil,2020
PI407659A,16.4,oil,2020
PI407702,21.9,oil,2020
PI407708B,19.4,oil,2020
PI407712,20.1,oil,2020
PI407715,19.9,oil,2020
PI407723,21.6,oil,2020
PI407726,19.4,oil,2020
PI407733,18.05,oil,2020
PI407738,20.7,oil,2020
PI407761,17.5,oil,2020
PI407772B,16.6,oil,2020
PI407777,15.55,oil,2020
PI407784,17.8,oil,2020
PI407792,17.75,oil,2020
PI407810,17.3,oil,2020
PI407811,15.15,oil,2020
PI407812,16.5,oil,2020
PI407827,17.8,oil,2020
PI407849,18.1,oil,2020
PI407863,16.3,oil,2020
PI407867B,16.1,oil,2020
PI407880,19.25,oil,2020
PI407915,16.55,oil,2020
PI407920,17.7,oil,2020
PI407941A,20.5,oil,2020
PI407950-1,17.15,oil,2020
PI407962-2,18.5,oil,2020
PI407965,14.85,oil,2020
PI407970,17.95,oil,2020
PI407990,17.25,oil,2020
PI408010-2,17.6,oil,2020
PI408029,16.1,oil,2020
PI408041,17,oil,2020
PI408052B,17.3,oil,2020
PI408067B,15.5,oil,2020
PI408084B,18.75,oil,2020
PI408100A,20.8,oil,2020
PI408105B,16.6,oil,2020
PI408115,17.3,oil,2020
PI408118,18.25,oil,2020
PI408119,18.25,oil,2020
PI408122,20.3,oil,2020
PI408128,17.7,oil,2020
PI408130,17.25,oil,2020
PI408133,17.7,oil,2020
PI408141,16.6,oil,2020
PI408144,20.1,oil,2020
PI408145,16.75,oil,2020
PI408151,15.3,oil,2020
PI408193,19.3,oil,2020
PI408209A,17.2,oil,2020
PI408211A,14.9,oil,2020
PI408212B,16.6,oil,2020
PI408224A,17.5,oil,2020
PI408226A,18.2,oil,2020
PI408229C,17.5,oil,2020
PI408232,17.3,oil,2020
PI408233B,15.9,oil,2020
PI408238-1,18.85,oil,2020
PI408249,16.7,oil,2020
PI408257,20.25,oil,2020
PI408258,15.5,oil,2020
PI408262D,18.15,oil,2020
PI408295A,17.1,oil,2020
PI408305,18.05,oil,2020
PI408308B,20.6,oil,2020
PI408316,16.65,oil,2020
PI408321,19.8,oil,2020
PI408330,15.35,oil,2020
PI416755,17.8,oil,2020
PI416760,18.2,oil,2020
PI416799,19.5,oil,2020
PI416804,18.9,oil,2020
PI416807,18.25,oil,2020
PI416813,17.8,oil,2020
PI416825B,16.9,oil,2020
PI416826B,18.4,oil,2020
PI416835,13.1,oil,2020
PI416840,16.5,oil,2020
PI416846,19.6,oil,2020
PI416873B,16.6,oil,2020
PI416876,17.2,oil,2020
PI416882,18.4,oil,2020
PI416888,16.55,oil,2020
PI416898,18.3,oil,2020
PI416901,19.2,oil,2020
PI416905,18.8,oil,2020
PI416906,15.4,oil,2020
PI416930,17.7,oil,2020
PI416945,16.5,oil,2020
PI416964,17.95,oil,2020
PI416995,16.3,oil,2020
PI416997,16.6,oil,2020
PI417009,13.8,oil,2020
PI417043,17.3,oil,2020
PI417056,16.65,oil,2020
PI417091,16.4,oil,2020
PI417094,16.9,oil,2020
PI417095,18.55,oil,2020
PI417097,20.85,oil,2020
PI417104,20.65,oil,2020
PI417119,15.4,oil,2020
PI417125,16,oil,2020
PI417137,17.9,oil,2020
PI417154,17.5,oil,2020
PI417156,18.95,oil,2020
PI417159,19.3,oil,2020
PI417168,16.5,oil,2020
PI417183,15.9,oil,2020
PI417190,18.2,oil,2020
PI417192,16.6,oil,2020
PI417196A,16.45,oil,2020
PI417198,16.7,oil,2020
PI417208,19.75,oil,2020
PI417219,18.1,oil,2020
PI417240,19.7,oil,2020
PI417241,18.6,oil,2020
PI417245,18.2,oil,2020
PI417267,19.85,oil,2020
PI417294,17.1,oil,2020
PI417309A,17.3,oil,2020
PI417327,15.6,oil,2020
PI417341,19.5,oil,2020
PI417348,17.8,oil,2020
PI417355B,18.4,oil,2020
PI417364,18.7,oil,2020
PI417377,21,oil,2020
PI417400,17.9,oil,2020
PI417411,18.8,oil,2020
PI417427,19.9,oil,2020
PI417429,17.5,oil,2020
PI417430,19.4,oil,2020
PI417438,18.95,oil,2020
PI417442,20.1,oil,2020
PI417447,16.3,oil,2020
PI417449,17.2,oil,2020
PI417474,18.9,oil,2020
PI417484,20.5,oil,2020
PI417485,18.9,oil,2020
PI417522,17.5,oil,2020
PI417528,18.5,oil,2020
PI417531,19.7,oil,2020
PI417534,20,oil,2020
PI417544A,19.9,oil,2020
PI417577,18.25,oil,2020
PI423712,20.5,oil,2020
PI423713,20.8,oil,2020
PI423715,18,oil,2020
PI423719,17.4,oil,2020
PI423728A,17.8,oil,2020
PI423739,18.4,oil,2020
PI423748A,18.6,oil,2020
PI423761,18.1,oil,2020
PI423770,18.05,oil,2020
PI423798B,16.5,oil,2020
PI423821,15.6,oil,2020
PI423849,16.7,oil,2020
PI423873,19.8,oil,2020
PI423875,17.6,oil,2020
PI423924,17.9,oil,2020
PI423929,16.9,oil,2020
PI423933,15.9,oil,2020
PI423948B,16.3,oil,2020
PI423950,17.4,oil,2020
PI423961A,19.5,oil,2020
PI423977,16.8,oil,2020
PI423990B,9.5,oil,2020
PI423994,11.05,oil,2020
PI424004B,9.95,oil,2020
PI424015,12.4,oil,2020
PI424016,12.1,oil,2020
PI424022B,11.5,oil,2020
PI424023,11.8,oil,2020
PI424035,11.2,oil,2020
PI424038A,12.15,oil,2020
PI424042,10.5,oil,2020
PI424043B,12,oil,2020
PI424046A,10.6,oil,2020
PI424047,10.9,oil,2020
PI424051B,10.1,oil,2020
PI424052,11.5,oil,2020
PI424058,10.6,oil,2020
PI424066,11.4,oil,2020
PI424069,10.8,oil,2020
PI424072B,10.9,oil,2020
PI424109B,9.9,oil,2020
PI424112,11.2,oil,2020
PI424116,11.2,oil,2020
PI424146,19.6,oil,2020
PI424168B,17.65,oil,2020
PI424169A,17.2,oil,2020
PI424175,16.2,oil,2020
PI424177,16.65,oil,2020
PI424182C,19.55,oil,2020
PI424196,21.25,oil,2020
PI424217B,18.3,oil,2020
PI424229B,18.1,oil,2020
PI424232B,19.2,oil,2020
PI424245,15.6,oil,2020
PI424249D,17.4,oil,2020
PI424256,17.9,oil,2020
PI424271,17.1,oil,2020
PI424277A,18.15,oil,2020
PI424279,16.8,oil,2020
PI424285A,17.4,oil,2020
PI424285C,18.2,oil,2020
PI424286,16.75,oil,2020
PI424299B,18.3,oil,2020
PI424329,17.3,oil,2020
PI424336,16.9,oil,2020
PI424347B,16.8,oil,2020
PI424351,18.6,oil,2020
PI424357A,18.9,oil,2020
PI424378,18.05,oil,2020
PI424390,16.2,oil,2020
PI424392,18.7,oil,2020
PI424400,15.5,oil,2020
PI424407,15.5,oil,2020
PI424412,17.1,oil,2020
PI424415,17.8,oil,2020
PI424416,16.1,oil,2020
PI424420,15.6,oil,2020
PI424431,14.3,oil,2020
PI424437,17.8,oil,2020
PI424446,19.3,oil,2020
PI424458,14.7,oil,2020
PI424472B,18.7,oil,2020
PI424474-1,18.1,oil,2020
PI424476,17.6,oil,2020
PI424477,15.8,oil,2020
PI424485,17.05,oil,2020
PI424489A,18.3,oil,2020
PI424493A,16.6,oil,2020
PI424497,16.9,oil,2020
PI424499A,17.3,oil,2020
PI424519,17.3,oil,2020
PI424526,20.6,oil,2020
PI424548,17.95,oil,2020
PI424569A,17.5,oil,2020
PI424575,17.8,oil,2020
PI424591,18,oil,2020
PI424595,17.6,oil,2020
PI424608B,14.3,oil,2020
PI424610,17.8,oil,2020
PI424617,15.7,oil,2020
PI427088C,18.8,oil,2020
PI427138,14.4,oil,2020
PI427141,14.1,oil,2020
PI429330,12.9,oil,2020
PI430626,19,oil,2020
PI436618,19.5,oil,2020
PI436619,21.7,oil,2020
PI436682,20.7,oil,2020
PI437078B,18.8,oil,2020
PI437080,16.2,oil,2020
PI437081B,18.9,oil,2020
PI437100,19.4,oil,2020
PI437102,17.7,oil,2020
PI437103,17.4,oil,2020
PI437106,18.1,oil,2020
PI437108,18.9,oil,2020
PI437115,18.2,oil,2020
PI437118A,17.9,oil,2020
PI437151,20.4,oil,2020
PI437160,18.9,oil,2020
PI437166A,20.5,oil,2020
PI437169A,20.5,oil,2020
PI437201,17.9,oil,2020
PI437202,17.6,oil,2020
PI437225,18.2,oil,2020
PI437228,17.7,oil,2020
PI437240,19.1,oil,2020
PI437244,18.1,oil,2020
PI437246C,19,oil,2020
PI437258,17.5,oil,2020
PI437264,17.3,oil,2020
PI437278,17.4,oil,2020
PI437280,18.3,oil,2020
PI437341,20.6,oil,2020
PI437345,13.3,oil,2020
PI437346,20.4,oil,2020
PI437347,19.6,oil,2020
PI437348,18.8,oil,2020
PI437359,19.7,oil,2020
PI437368,18.8,oil,2020
PI437373,17.7,oil,2020
PI437375B,20.8,oil,2020
PI437396,16,oil,2020
PI437402,16.3,oil,2020
PI437413,18.8,oil,2020
PI437459,18.1,oil,2020
PI437462A,18.6,oil,2020
PI437463B,16.3,oil,2020
PI437468,17.8,oil,2020
PI437473,19.3,oil,2020
PI437480,18.7,oil,2020
PI437487,14.7,oil,2020
PI437500C,18.45,oil,2020
PI437504,18.5,oil,2020
PI437505,17.8,oil,2020
PI437508B,20.4,oil,2020
PI437510,18.5,oil,2020
PI437546,20,oil,2020
PI437552,19.3,oil,2020
PI437562,11.4,oil,2020
PI437564,18.5,oil,2020
PI437580,18.05,oil,2020
PI437605C,19.25,oil,2020
PI437614B,20.4,oil,2020
PI437619,18.4,oil,2020
PI437622B,18.5,oil,2020
PI437626,18.9,oil,2020
PI437628,20.8,oil,2020
PI437631,19.6,oil,2020
PI437633D,17.9,oil,2020
PI437635C,19,oil,2020
PI437645A,19.4,oil,2020
PI437646A,19.9,oil,2020
PI437650A,20.1,oil,2020
PI437650B,18.9,oil,2020
PI437658,12.7,oil,2020
PI437668,13.4,oil,2020
PI437671,20,oil,2020
PI437675,21.3,oil,2020
PI437682A,16.6,oil,2020
PI437690,14.5,oil,2020
PI437696,18.8,oil,2020
PI437700,19.8,oil,2020
PI437717,16.7,oil,2020
PI437723,19,oil,2020
PI437724,18.8,oil,2020
PI437726,19,oil,2020
PI437734,18.8,oil,2020
PI437743,16.9,oil,2020
PI437748,19.5,oil,2020
PI437749,15.5,oil,2020
PI437752C,18.9,oil,2020
PI437754,18.9,oil,2020
PI437757,20.3,oil,2020
PI437763,19.8,oil,2020
PI437764,17.9,oil,2020
PI437791,15.7,oil,2020
PI437792,17.1,oil,2020
PI437797,17.8,oil,2020
PI437830,18.4,oil,2020
PI437835,19.6,oil,2020
PI437845B,18.4,oil,2020
PI437858,19.35,oil,2020
PI437862,18.5,oil,2020
PI437867B,19.3,oil,2020
PI437876,19.55,oil,2020
PI437878B,20,oil,2020
PI437885,21.5,oil,2020
PI437895A,18.2,oil,2020
PI437897,19.35,oil,2020
PI437905,16.1,oil,2020
PI437911,18.8,oil,2020
PI437919,18.4,oil,2020
PI437948,16.8,oil,2020
PI437955A,19,oil,2020
PI437970,18.9,oil,2020
PI437972,20.1,oil,2020
PI437975A,18.05,oil,2020
PI437978,21.45,oil,2020
PI437995A,19.5,oil,2020
PI438012,17.7,oil,2020
PI438016B,19.9,oil,2020
PI438022,18.25,oil,2020
PI438024,17.1,oil,2020
PI438029,18.5,oil,2020
PI438057,18.3,oil,2020
PI438105A,18.7,oil,2020
PI438117,19.4,oil,2020
PI438128A,20.25,oil,2020
PI438130,21.3,oil,2020
PI438133A,20.1,oil,2020
PI438136,17.9,oil,2020
PI438137A,16.25,oil,2020
PI438137B,19.9,oil,2020
PI438139,21.6,oil,2020
PI438148,19.9,oil,2020
PI438158A,19.6,oil,2020
PI438167,21.5,oil,2020
PI438172,18.1,oil,2020
PI438179,21.2,oil,2020
PI438197,20.8,oil,2020
PI438245,20.15,oil,2020
PI438254D,20.5,oil,2020
PI438262,19.75,oil,2020
PI438271B,21.3,oil,2020
PI438281,19,oil,2020
PI438337,19,oil,2020
PI438339B,18,oil,2020
PI438340B,17,oil,2020
PI438344,20.5,oil,2020
PI438372,16.9,oil,2020
PI438377,18.8,oil,2020
PI438378,18.7,oil,2020
PI438380,17.7,oil,2020
PI438381,18.7,oil,2020
PI438385,20.1,oil,2020
PI438405,18.9,oil,2020
PI438410,17.9,oil,2020
PI438412,19.8,oil,2020
PI438429,17.3,oil,2020
PI438440-2,13.3,oil,2020
PI438446A,20.4,oil,2020
PI438454,20,oil,2020
PI438473,21.6,oil,2020
PI438487,17.4,oil,2020
PI438489A,15.1,oil,2020
PI438489B,14.7,oil,2020
PI438490A,15.6,oil,2020
PI438491,12.3,oil,2020
PI438493,20,oil,2020
PI438501,15.6,oil,2020
PI438503C,17.2,oil,2020
PI438505,18,oil,2020
PI438507C,17.4,oil,2020
PI440913A,9.8,oil,2020
PI441352,11.8,oil,2020
PI441353,19.2,oil,2020
PI442012B,16.8,oil,2020
PI442036,19.3,oil,2020
PI442045,19.8,oil,2020
PI445787,19.3,oil,2020
PI445806,19,oil,2020
PI445808B,19.4,oil,2020
PI445812,18.6,oil,2020
PI445830,21.2,oil,2020
PI445837,20.5,oil,2020
PI445844,14.6,oil,2020
PI445848A,17.45,oil,2020
PI458018,16.2,oil,2020
PI458036,17.8,oil,2020
PI458050,18.5,oil,2020
PI458070A,17.2,oil,2020
PI458077,18.8,oil,2020
PI458081,18.3,oil,2020
PI458089,16.8,oil,2020
PI458090B,17.65,oil,2020
PI458097,18.4,oil,2020
PI458118,17.4,oil,2020
PI458133,22.2,oil,2020
PI458137,16.85,oil,2020
PI458149,17.7,oil,2020
PI458151,17.55,oil,2020
PI458160,18.75,oil,2020
PI458162,16.7,oil,2020
PI458175A,17.8,oil,2020
PI458175C,18.45,oil,2020
PI458178,18,oil,2020
PI458182,19.8,oil,2020
PI458194,17.8,oil,2020
PI458200,19.6,oil,2020
PI458211,18.7,oil,2020
PI458224,16.3,oil,2020
PI458227,16.6,oil,2020
PI458236B,14.1,oil,2020
PI458237,17.8,oil,2020
PI458239,17.7,oil,2020
PI458240,18.5,oil,2020
PI458249,17.5,oil,2020
PI458256,19.5,oil,2020
PI458261,19.3,oil,2020
PI458262,17,oil,2020
PI458281B,18.9,oil,2020
PI458291,20.2,oil,2020
PI458295,18.35,oil,2020
PI458296,16.8,oil,2020
PI458306B,21.1,oil,2020
PI458515,17.3,oil,2020
PI458536,9.35,oil,2020
PI458826A,17.8,oil,2020
PI464871C,10.35,oil,2020
PI464889C,10.65,oil,2020
PI464897,22.9,oil,2020
PI464899,22.2,oil,2020
PI464901,20.75,oil,2020
PI464914A,19.1,oil,2020
PI464926,11.65,oil,2020
PI464927B,10.75,oil,2020
PI464937B,12.8,oil,2020
PI464939A,12,oil,2020
PI466749A,17.2,oil,2020
PI467308B,20.4,oil,2020
PI467318B,18.4,oil,2020
PI467323A,18.9,oil,2020
PI467335B,19.6,oil,2020
PI467342,20.2,oil,2020
PI468374A,18.4,oil,2020
PI468399C,10.5,oil,2020
PI468400A,11.45,oil,2020
PI468911,10.75,oil,2020
PI468920,17.9,oil,2020
PI468973,17.15,oil,2020
PI470227B,20.1,oil,2020
PI471934,17.9,oil,2020
PI475783B,18.35,oil,2020
PI475811A,18.2,oil,2020
PI475812A,17.8,oil,2020
PI475813A,20,oil,2020
PI475813B,20.1,oil,2020
PI475823,17.1,oil,2020
PI475824B,17.45,oil,2020
PI476889,14.6,oil,2020
PI476911,17.5,oil,2020
PI476913,16.7,oil,2020
PI479711,16.6,oil,2020
PI479715,20.35,oil,2020
PI479716,18.8,oil,2020
PI479721,19.65,oil,2020
PI479728A,18.05,oil,2020
PI479729,18.15,oil,2020
PI479741,19.5,oil,2020
PI479746A,9.65,oil,2020
PI479747,9.55,oil,2020
PI479753A,10.75,oil,2020
PI479753B,10.7,oil,2020
PI479757,19.9,oil,2020
PI479761,19.9,oil,2020
PI483461,9.95,oil,2020
PI483467,13.2,oil,2020
PI486220,10.8,oil,2020
PI486354A,18.6,oil,2020
PI494181,15,oil,2020
PI494851,19.7,oil,2020
PI495017B,16,oil,2020
PI497952,17.65,oil,2020
PI497956,13.6,oil,2020
PI497964A,19.1,oil,2020
PI503338,20.5,oil,2020
PI504494,18,oil,2020
PI504498,19.8,oil,2020
PI505649A,19.5,oil,2020
PI506482,17.5,oil,2020
PI506493,18.9,oil,2020
PI506494,18.7,oil,2020
PI506501,18.95,oil,2020
PI506513,18.5,oil,2020
PI506540,18.6,oil,2020
PI506563,18.9,oil,2020
PI506571,17.55,oil,2020
PI506581B,16.9,oil,2020
PI506582,18.3,oil,2020
PI506590C,18.1,oil,2020
PI506590D,19.6,oil,2020
PI506598,18.7,oil,2020
PI506599,19.75,oil,2020
PI506608,20.1,oil,2020
PI506612,19.5,oil,2020
PI506633,17.6,oil,2020
PI506640,18.3,oil,2020
PI506641,19.7,oil,2020
PI506644,18.4,oil,2020
